text,title,id,project_number,terms,administration,organization,mechanism,year,funding,score
"SCH: INT: Computational Tools for Avoidaint/Restrictive Food Intake Disorder  Intellectual Merit: This project will for the first time provide the fundamental tools to integrate unique multimodal data toward screening, diagnosis, and intervention in eating disorders, with an initial focus on children with ARFID and related developmental and health disorders. This work is critical for enriching the understanding of healthy development and for broadening the foundations of behavioral data science. ARFID ·motivates the development of new computer vision and data analysis tools critical for the analysis of multidimensional behavioral data. The main aims are: 1. Develop and user individualized and integrated continuous facial affect coding from videos to discern affective motivations for food avoidance, critical due to the unique sensory aspects of eating disorders, and resulting from active stimulation via friendly and carefully designed images/videos and real food presentation; 2. Use data analysis and machine learning to derive sensory profiles based on patterns of food consumption and preference from existing unique datasets of selective eaters; and 3. Translate the tools developed in Aims 1 and 2 into the clinic and home to assess the capacity of these tools to define a threshold of clinically significant food avoidance, to detect change in acceptability of food with repeated presentations, and to examine and modify the accuracy of our food suggestion algorithms. Broader Impacts: The impact of this application comprises two broad domains. First is the derivation of processes, tools, and strategies to analyze very disparate data across multiple levels of analysis and to codify those strategies to inform similar future work, in particular incorporating automatic behavioral coding. Second is the exploitation of these tools to address questions about the emergence of healthy/unhealthy food selectivity across the lifespan, including recommendation delivery via apps and at-home recordings. The health impact of even partial success in this project is very broad and significant. Undergraduate students will be involved in this project via the 6-weeks summer research program at the Information Initiative at Duke, a center dedicated to the fundamentals of data science and its applications; via the co-Pl's research lab devoted to eating disorders; and via the Pl's project dedicated to training undergraduate students to address eating disorders of their friends via an anonymous app. Outreach and dissemination will follow the broad use of the developed app, both in the clinic and the general population, including the Pl's connections with low-income and under-represented bi-lingual preK. RELEVANCE (See instructions): Eating disorders are potentially life-threatening mental illnesses affecting the general population; -90% of individuals never receive treatment, in part due to lack of awareness and access. Individuals with eating disorders experience a diminished quality of life, high mental and physical illness comorbidities, and an existence marked by profound loneliness and isolation. Combining expertise in eating disorders with computer vision and machine learning, we bring for the first time data science to this health challenge. PROJECT/PERFORMANCE S1TE(S) (If addItIonal space Is needed use Project/Performance Stte Format Page) n/a",SCH: INT: Computational Tools for Avoidaint/Restrictive Food Intake Disorder ,9927093,R01MH122370,"['Address', 'Affect', 'Affective', 'Algorithms', 'Anxiety', 'Assessment tool', 'Attention', 'Awareness', 'Behavior Therapy', 'Behavioral', 'Caregivers', 'Child', 'Childhood', 'Clinic', 'Clinical', 'Code', 'Comorbidity', 'Computer Vision Systems', 'Data', 'Data Analyses', 'Data Science', 'Data Set', 'Depressed mood', 'Derivation procedure', 'Development', 'Diagnosis', 'Diet', 'Disease', 'Distress', 'Eating', 'Eating Disorders', 'Emotional', 'Emotions', 'Evolution', 'Exposure to', 'Face', 'Family', 'Food', 'Food Patterns', 'Food Preferences', 'Foundations', 'Friends', 'Fright', 'Future', 'General Population', 'Goals', 'Health', 'Health Personnel', 'Home environment', 'Image', 'Impairment', 'Individual', 'Industry', 'Instruction', 'Intervention', 'Life', 'Link', 'Literature', 'Loneliness', 'Longevity', 'Low income', 'Machine Learning', 'Maps', 'Mathematics', 'Measures', 'Mental disorders', 'Monitor', 'Motion', 'Motivation', 'Parents', 'Performance', 'Phenotype', 'Primary Health Care', 'Process', 'Psyche structure', 'Quality of life', 'Reaction', 'Recommendation', 'Research', 'Scientist', 'Sensory', 'Severities', 'Smell Perception', 'Standardization', 'Structure', 'Suggestion', 'System', 'Taste aversion', 'Time', 'Training', 'Translating', 'Uncertainty', 'Work', 'analytical tool', 'base', 'behavior change', 'clinically significant', 'computerized tools', 'design', 'experience', 'food avoidance', 'food consumption', 'gaze', 'improved', 'indexing', 'mathematical algorithm', 'multimodal data', 'novel', 'outreach', 'precision medicine', 'preference', 'programs', 'relating to nervous system', 'response', 'screening', 'success', 'summer research', 'tool', 'undergraduate student', 'wasting', 'willingness']",NIMH,DUKE UNIVERSITY,R01,2019,253545,0.14957581355729171
"Extending PhonBank for Clinical Phonology and Speech Analysis The study of phonological development has important implications for the diagnosis, understanding, and treatment of developmental language disorders. It also has implications for the understanding of language patterns in stuttering, disfluency, aphasia, bilingualism, second language learning, and dementia. Recent computational advances now make it possible for researchers to link high quality digital recordings to phonological and phonetic transcriptions. Using standards such as Unicode, IPA, and XML, and the infrastructure developed in the CHILDES Project, the PhonBank database project now provides universal Internet access to large corpora of transcripts linked to audio for the study of phonological developemnt. PhonBank also provides the Phon program that automates creation and analysis of these new corpora. The construction of this database is being be supported by a group of 60 researchers and their students who have agreed to contribute already collected and transcribed corpora from children learning 25 different languages. Subjects include bilingual children, normally-developing monolinguals, and children with language disorders. The data are being structured to facilitate testing of models regarding babbling universals, variant paths in segmental and prosodic development, markedness effects, prosodic context effects, segmentation patterns, statistical learning, frequency effects, interlanguage transfer, diagnosis of disability, stuttering patterns, disfluency patterns, and the effects of morphology and syntax. The study of phonological development has important implications for the diagnosis and treatment of developmental disorders such as articulatory impairment, specific language impairment, and stuttering. The tools and methods used in this area can also be used for the study of adult language disorders such as aphasia, apraxia, and dementia, as well as for understanding normal and abnormal patterns of second language learning.",Extending PhonBank for Clinical Phonology and Speech Analysis,9613837,R01HD051698,"['Adult', 'Affect', 'Aphasia', 'Apraxias', 'Area', 'Attention', 'Back', 'Child', 'Clinical', 'Data', 'Data Analyses', 'Data Reporting', 'Data Set', 'Databases', 'Dementia', 'Development', 'Diagnosis', 'Educational workshop', 'Equipment and supply inventories', 'Extensible Markup Language', 'Family', 'Frequencies', 'Genetic Transcription', 'Impairment', 'Individual', 'Infrastructure', 'Internet', 'Language', 'Language Development', 'Language Development Disorders', 'Language Disorders', 'Learning', 'Link', 'Literature', 'Machine Learning', 'Measures', 'Methodology', 'Methods', 'Modeling', 'Modernization', 'Morphology', 'Multilingualism', 'Participant', 'Pattern', 'Population', 'Process', 'Production', 'Productivity', 'Property', 'Protocols documentation', 'Publishing', 'Research Design', 'Research Personnel', 'Sampling', 'Speech', 'Speech Disorders', 'Structure', 'Students', 'Stuttering', 'System', 'Testing', 'Transcript', 'Variant', 'Work', 'analytical tool', 'base', 'bilingualism', 'computer program', 'developmental disease', 'digital', 'disability', 'improved', 'member', 'phonology', 'programs', 'protocol development', 'sound', 'specific language impairment', 'syntax', 'tool']",NICHD,CARNEGIE-MELLON UNIVERSITY,R01,2019,268961,0.2674660571839294
"Extending PhonBank for Clinical Phonology and Speech Analysis The study of phonological development has important implications for the diagnosis, understanding, and treatment of developmental language disorders. It also has implications for the understanding of language patterns in stuttering, disfluency, aphasia, bilingualism, second language learning, and dementia. Recent computational advances now make it possible for researchers to link high quality digital recordings to phonological and phonetic transcriptions. Using standards such as Unicode, IPA, and XML, and the infrastructure developed in the CHILDES Project, the PhonBank database project now provides universal Internet access to large corpora of transcripts linked to audio for the study of phonological developemnt. PhonBank also provides the Phon program that automates creation and analysis of these new corpora. The construction of this database is being be supported by a group of 60 researchers and their students who have agreed to contribute already collected and transcribed corpora from children learning 25 different languages. Subjects include bilingual children, normally-developing monolinguals, and children with language disorders. The data are being structured to facilitate testing of models regarding babbling universals, variant paths in segmental and prosodic development, markedness effects, prosodic context effects, segmentation patterns, statistical learning, frequency effects, interlanguage transfer, diagnosis of disability, stuttering patterns, disfluency patterns, and the effects of morphology and syntax. The study of phonological development has important implications for the diagnosis and treatment of developmental disorders such as articulatory impairment, specific language impairment, and stuttering. The tools and methods used in this area can also be used for the study of adult language disorders such as aphasia, apraxia, and dementia, as well as for understanding normal and abnormal patterns of second language learning.",Extending PhonBank for Clinical Phonology and Speech Analysis,9393259,R01HD051698,"['Adult', 'Affect', 'Aphasia', 'Apraxias', 'Area', 'Attention', 'Back', 'Child', 'Clinical', 'Data', 'Data Analyses', 'Data Reporting', 'Data Set', 'Databases', 'Dementia', 'Development', 'Diagnosis', 'Educational workshop', 'Equipment and supply inventories', 'Extensible Markup Language', 'Family', 'Frequencies', 'Genetic Transcription', 'Impairment', 'Individual', 'Internet', 'Language', 'Language Development', 'Language Development Disorders', 'Language Disorders', 'Learning', 'Link', 'Literature', 'Machine Learning', 'Measures', 'Methodology', 'Methods', 'Modeling', 'Modernization', 'Morphology', 'Multilingualism', 'Participant', 'Pattern', 'Population', 'Process', 'Production', 'Productivity', 'Property', 'Protocols documentation', 'Publishing', 'Research Design', 'Research Infrastructure', 'Research Personnel', 'Sampling', 'Speech', 'Speech Disorders', 'Structure', 'Students', 'Stuttering', 'System', 'Testing', 'Transcript', 'Variant', 'Work', 'analytical tool', 'base', 'bilingualism', 'computer program', 'developmental disease', 'digital', 'disability', 'improved', 'member', 'phonology', 'programs', 'protocol development', 'sound', 'specific language impairment', 'syntax', 'tool']",NICHD,CARNEGIE-MELLON UNIVERSITY,R01,2018,268713,0.2674660571839294
"Extending PhonBank for Clinical Phonology and Speech Analysis The study of phonological development has important implications for the diagnosis, understanding, and treatment of developmental language disorders. It also has implications for the understanding of language patterns in stuttering, disfluency, aphasia, bilingualism, second language learning, and dementia. Recent computational advances now make it possible for researchers to link high quality digital recordings to phonological and phonetic transcriptions. Using standards such as Unicode, IPA, and XML, and the infrastructure developed in the CHILDES Project, the PhonBank database project now provides universal Internet access to large corpora of transcripts linked to audio for the study of phonological developemnt. PhonBank also provides the Phon program that automates creation and analysis of these new corpora. The construction of this database is being be supported by a group of 60 researchers and their students who have agreed to contribute already collected and transcribed corpora from children learning 25 different languages. Subjects include bilingual children, normally-developing monolinguals, and children with language disorders. The data are being structured to facilitate testing of models regarding babbling universals, variant paths in segmental and prosodic development, markedness effects, prosodic context effects, segmentation patterns, statistical learning, frequency effects, interlanguage transfer, diagnosis of disability, stuttering patterns, disfluency patterns, and the effects of morphology and syntax. The study of phonological development has important implications for the diagnosis and treatment of developmental disorders such as articulatory impairment, specific language impairment, and stuttering. The tools and methods used in this area can also be used for the study of adult language disorders such as aphasia, apraxia, and dementia, as well as for understanding normal and abnormal patterns of second language learning.",Extending PhonBank for Clinical Phonology and Speech Analysis,9234982,R01HD051698,"['Adult', 'Affect', 'Aphasia', 'Apraxias', 'Area', 'Attention', 'Back', 'Child', 'Clinical', 'Data', 'Data Analyses', 'Data Reporting', 'Data Set', 'Databases', 'Dementia', 'Development', 'Diagnosis', 'Educational workshop', 'Equipment and supply inventories', 'Extensible Markup Language', 'Family', 'Frequencies', 'Genetic Transcription', 'Impairment', 'Individual', 'Internet', 'Language', 'Language Development', 'Language Development Disorders', 'Language Disorders', 'Learning', 'Link', 'Literature', 'Machine Learning', 'Measures', 'Methodology', 'Methods', 'Modeling', 'Modernization', 'Morphology', 'Multilingualism', 'Participant', 'Pattern', 'Population', 'Process', 'Production', 'Productivity', 'Property', 'Protocols documentation', 'Publishing', 'Research Design', 'Research Infrastructure', 'Research Personnel', 'Sampling', 'Speech', 'Speech Disorders', 'Structure', 'Students', 'Stuttering', 'System', 'Testing', 'Transcript', 'Variant', 'Work', 'analytical tool', 'base', 'bilingualism', 'computer program', 'developmental disease', 'digital', 'disability', 'improved', 'member', 'phonology', 'programs', 'protocol development', 'sound', 'specific language impairment', 'syntax', 'tool']",NICHD,CARNEGIE-MELLON UNIVERSITY,R01,2017,293203,0.2674660571839294
"A Shared Database for the Study of Phonological Development DESCRIPTION (provided by applicant): The study of phonological development has important implications for the diagnosis, understanding, and treatment of developmental language disorders. It also has implications for the understanding of language patterns in stuttering, disfluency, aphasia, bilingualism, second language learning, and dementia. Recent computational advances now make it possible for researchers to link high quality digital recordings to phonological and phonetic transcriptions. Using standards such as Unicode, IPA, and XML, the CHILDES database project now provides universal Internet access to large corpora of transcripts linked to audio for students of both first and second language acquisition, along with a wide array of tools for lexical, syntactic, and discourse analysis. However, the CHILDES Project has not provided effective tools for phonological and phonetic analysis. PhonBank seeks to bridge this gap by providing a new database on phonological development with transcripts linked directly to audio records. It also provides a program that automates creation and analysis of these new corpora. The construction of this database is being be supported by a group of 60 researchers and their students who have agreed to contribute already collected and transcribed corpora from children learning 17 different languages. Subjects include bilingual children, normally-developing monolinguals, and children with language disorders. The data are being structured to facilitate testing of models regarding babbling universals, variant paths in segmental and prosodic development, markedness effects, prosodic context effects, segmentation patterns, statistical learning, frequency effects, interlanguage transfer, diagnosis of disability, stuttering patterns, disfluency patterns, and the effects of morphology and syntax. The study of phonological development has important implications for the diagnosis and treatment of developmental disorders such as articulatory impairment, specific language impairment, and stuttering. The tools and methods used in this area can also be used for the study of adult language disorders such as aphasia, apraxia, and dementia, as well as for understanding normal and abnormal patterns of second language learning.",A Shared Database for the Study of Phonological Development,8984169,R01HD051698,"['Adult', 'Algorithms', 'Aphasia', 'Apraxias', 'Area', 'Benchmarking', 'Child', 'Clinical assessments', 'Data', 'Data Analyses', 'Data Set', 'Databases', 'Dementia', 'Development', 'Diagnosis', 'Discourse analysis', 'Educational workshop', 'Extensible Markup Language', 'Family', 'Frequencies', 'Genetic Transcription', 'Impairment', 'Internet', 'Language', 'Language Development', 'Language Development Disorders', 'Language Disorders', 'Learning', 'Link', 'Machine Learning', 'Methodology', 'Methods', 'Modeling', 'Morphology', 'Participant', 'Pattern', 'Phonetics', 'Process', 'Records', 'Research Personnel', 'Site', 'Speech Disorders', 'Structure', 'Students', 'Stuttering', 'System', 'Testing', 'Transcript', 'Variant', 'Work', 'base', 'bilingualism', 'computer program', 'developmental disease', 'digital', 'disability', 'improved', 'lexical', 'phonology', 'programs', 'sound', 'specific language impairment', 'syntax', 'tool']",NICHD,CARNEGIE-MELLON UNIVERSITY,R01,2016,270581,0.3054517161828193
"A Shared Database for the Study of Phonological Development DESCRIPTION (provided by applicant): The study of phonological development has important implications for the diagnosis, understanding, and treatment of developmental language disorders. It also has implications for the understanding of language patterns in stuttering, disfluency, aphasia, bilingualism, second language learning, and dementia. Recent computational advances now make it possible for researchers to link high quality digital recordings to phonological and phonetic transcriptions. Using standards such as Unicode, IPA, and XML, the CHILDES database project now provides universal Internet access to large corpora of transcripts linked to audio for students of both first and second language acquisition, along with a wide array of tools for lexical, syntactic, and discourse analysis. However, the CHILDES Project has not provided effective tools for phonological and phonetic analysis. PhonBank seeks to bridge this gap by providing a new database on phonological development with transcripts linked directly to audio records. It also provides a program that automates creation and analysis of these new corpora. The construction of this database is being be supported by a group of 60 researchers and their students who have agreed to contribute already collected and transcribed corpora from children learning 17 different languages. Subjects include bilingual children, normally-developing monolinguals, and children with language disorders. The data are being structured to facilitate testing of models regarding babbling universals, variant paths in segmental and prosodic development, markedness effects, prosodic context effects, segmentation patterns, statistical learning, frequency effects, interlanguage transfer, diagnosis of disability, stuttering patterns, disfluency patterns, and the effects of morphology and syntax. The study of phonological development has important implications for the diagnosis and treatment of developmental disorders such as articulatory impairment, specific language impairment, and stuttering. The tools and methods used in this area can also be used for the study of adult language disorders such as aphasia, apraxia, and dementia, as well as for understanding normal and abnormal patterns of second language learning.",A Shared Database for the Study of Phonological Development,8787131,R01HD051698,"['Adult', 'Algorithms', 'Aphasia', 'Area', 'Benchmarking', 'Child', 'Clinical assessments', 'Data', 'Data Analyses', 'Data Set', 'Databases', 'Dementia', 'Development', 'Diagnosis', 'Educational workshop', 'Extensible Markup Language', 'Family', 'Frequencies', 'Genetic Transcription', 'Impairment', 'Internet', 'Language', 'Language Development', 'Language Development Disorders', 'Language Disorders', 'Learning', 'Link', 'Machine Learning', 'Methodology', 'Methods', 'Modeling', 'Morphology', 'Participant', 'Pattern', 'Phonetics', 'Process', 'Records', 'Research Personnel', 'Site', 'Speech Disorders', 'Structure', 'Students', 'Stuttering', 'System', 'Testing', 'Transcript', 'Variant', 'Work', 'base', 'bilingualism', 'computer program', 'developmental disease', 'digital', 'disability', 'improved', 'lexical', 'phonology', 'programs', 'sound', 'specific language impairment', 'syntax', 'tool']",NICHD,CARNEGIE-MELLON UNIVERSITY,R01,2015,268514,0.3054517161828193
"A Shared Database for the Study of Phonological Development    DESCRIPTION (provided by applicant): The study of phonological development has important implications for the diagnosis, understanding, and treatment of developmental language disorders. It also has implications for the understanding of language patterns in stuttering, disfluency, aphasia, bilingualism, second language learning, and dementia. Recent computational advances now make it possible for researchers to link high quality digital recordings to phonological and phonetic transcriptions. Using standards such as Unicode, IPA, and XML, the CHILDES database project now provides universal Internet access to large corpora of transcripts linked to audio for students of both first and second language acquisition, along with a wide array of tools for lexical, syntactic, and discourse analysis. However, the CHILDES Project has not provided effective tools for phonological and phonetic analysis. PhonBank seeks to bridge this gap by providing a new database on phonological development with transcripts linked directly to audio records. It also provides a program that automates creation and analysis of these new corpora. The construction of this database is being be supported by a group of 60 researchers and their students who have agreed to contribute already collected and transcribed corpora from children learning 17 different languages. Subjects include bilingual children, normally-developing monolinguals, and children with language disorders. The data are being structured to facilitate testing of models regarding babbling universals, variant paths in segmental and prosodic development, markedness effects, prosodic context effects, segmentation patterns, statistical learning, frequency effects, interlanguage transfer, diagnosis of disability, stuttering patterns, disfluency patterns, and the effects of morphology and syntax.        The study of phonological development has important implications for the diagnosis and treatment of developmental disorders such as articulatory impairment, specific language impairment, and stuttering. The tools and methods used in this area can also be used for the study of adult language disorders such as aphasia, apraxia, and dementia, as well as for understanding normal and abnormal patterns of second language learning.         ",A Shared Database for the Study of Phonological Development,8601309,R01HD051698,"['Adult', 'Algorithms', 'Aphasia', 'Area', 'Benchmarking', 'Child', 'Clinical assessments', 'Data', 'Data Analyses', 'Data Set', 'Databases', 'Dementia', 'Development', 'Diagnosis', 'Educational workshop', 'Extensible Markup Language', 'Family', 'Frequencies', 'Genetic Transcription', 'Impairment', 'Internet', 'Language', 'Language Development', 'Language Development Disorders', 'Language Disorders', 'Learning', 'Link', 'Machine Learning', 'Methodology', 'Methods', 'Modeling', 'Morphology', 'Participant', 'Pattern', 'Phonetics', 'Process', 'Records', 'Research Personnel', 'Site', 'Speech Disorders', 'Structure', 'Students', 'Stuttering', 'System', 'Testing', 'Transcript', 'Variant', 'Work', 'base', 'bilingualism', 'computer program', 'developmental disease', 'digital', 'disability', 'improved', 'lexical', 'phonology', 'programs', 'sound', 'specific language impairment', 'syntax', 'tool']",NICHD,CARNEGIE-MELLON UNIVERSITY,R01,2014,269616,0.3054517161828193
"A Shared Database for the Study of Phonological Development    DESCRIPTION (provided by applicant): The study of phonological development has important implications for the diagnosis, understanding, and treatment of developmental language disorders. It also has implications for the understanding of language patterns in stuttering, disfluency, aphasia, bilingualism, second language learning, and dementia. Recent computational advances now make it possible for researchers to link high quality digital recordings to phonological and phonetic transcriptions. Using standards such as Unicode, IPA, and XML, the CHILDES database project now provides universal Internet access to large corpora of transcripts linked to audio for students of both first and second language acquisition, along with a wide array of tools for lexical, syntactic, and discourse analysis. However, the CHILDES Project has not provided effective tools for phonological and phonetic analysis. PhonBank seeks to bridge this gap by providing a new database on phonological development with transcripts linked directly to audio records. It also provides a program that automates creation and analysis of these new corpora. The construction of this database is being be supported by a group of 60 researchers and their students who have agreed to contribute already collected and transcribed corpora from children learning 17 different languages. Subjects include bilingual children, normally-developing monolinguals, and children with language disorders. The data are being structured to facilitate testing of models regarding babbling universals, variant paths in segmental and prosodic development, markedness effects, prosodic context effects, segmentation patterns, statistical learning, frequency effects, interlanguage transfer, diagnosis of disability, stuttering patterns, disfluency patterns, and the effects of morphology and syntax.        The study of phonological development has important implications for the diagnosis and treatment of developmental disorders such as articulatory impairment, specific language impairment, and stuttering. The tools and methods used in this area can also be used for the study of adult language disorders such as aphasia, apraxia, and dementia, as well as for understanding normal and abnormal patterns of second language learning.         ",A Shared Database for the Study of Phonological Development,8409787,R01HD051698,"['Adult', 'Algorithms', 'Aphasia', 'Area', 'Benchmarking', 'Child', 'Clinical assessments', 'Data', 'Data Analyses', 'Data Set', 'Databases', 'Dementia', 'Development', 'Diagnosis', 'Educational workshop', 'Extensible Markup Language', 'Family', 'Frequencies', 'Genetic Transcription', 'Impairment', 'Internet', 'Language', 'Language Development', 'Language Development Disorders', 'Language Disorders', 'Learning', 'Link', 'Machine Learning', 'Methodology', 'Methods', 'Modeling', 'Morphology', 'Participant', 'Pattern', 'Phonetics', 'Process', 'Records', 'Research Personnel', 'Site', 'Speech Disorders', 'Structure', 'Students', 'Stuttering', 'System', 'Testing', 'Transcript', 'Variant', 'Work', 'base', 'bilingualism', 'computer program', 'developmental disease', 'digital', 'disability', 'improved', 'lexical', 'phonology', 'programs', 'sound', 'specific language impairment', 'syntax', 'tool']",NICHD,CARNEGIE-MELLON UNIVERSITY,R01,2013,265030,0.3054517161828193
"A Shared Database for the Study of Phonological Development    DESCRIPTION (provided by applicant): The study of phonological development has important implications for the diagnosis, understanding, and treatment of developmental language disorders. It also has implications for the understanding of language patterns in stuttering, disfluency, aphasia, bilingualism, second language learning, and dementia. Recent computational advances now make it possible for researchers to link high quality digital recordings to phonological and phonetic transcriptions. Using standards such as Unicode, IPA, and XML, the CHILDES database project now provides universal Internet access to large corpora of transcripts linked to audio for students of both first and second language acquisition, along with a wide array of tools for lexical, syntactic, and discourse analysis. However, the CHILDES Project has not provided effective tools for phonological and phonetic analysis. PhonBank seeks to bridge this gap by providing a new database on phonological development with transcripts linked directly to audio records. It also provides a program that automates creation and analysis of these new corpora. The construction of this database is being be supported by a group of 60 researchers and their students who have agreed to contribute already collected and transcribed corpora from children learning 17 different languages. Subjects include bilingual children, normally-developing monolinguals, and children with language disorders. The data are being structured to facilitate testing of models regarding babbling universals, variant paths in segmental and prosodic development, markedness effects, prosodic context effects, segmentation patterns, statistical learning, frequency effects, interlanguage transfer, diagnosis of disability, stuttering patterns, disfluency patterns, and the effects of morphology and syntax.      PUBLIC HEALTH RELEVANCE: The study of phonological development has important implications for the diagnosis and treatment of developmental disorders such as articulatory impairment, specific language impairment, and stuttering. The tools and methods used in this area can also be used for the study of adult language disorders such as aphasia, apraxia, and dementia, as well as for understanding normal and abnormal patterns of second language learning.           The study of phonological development has important implications for the diagnosis and treatment of developmental disorders such as articulatory impairment, specific language impairment, and stuttering. The tools and methods used in this area can also be used for the study of adult language disorders such as aphasia, apraxia, and dementia, as well as for understanding normal and abnormal patterns of second language learning.         ",A Shared Database for the Study of Phonological Development,8234545,R01HD051698,"['Adult', 'Algorithms', 'Aphasia', 'Area', 'Benchmarking', 'Child', 'Clinical assessments', 'Data', 'Data Analyses', 'Data Set', 'Databases', 'Dementia', 'Development', 'Diagnosis', 'Educational workshop', 'Extensible Markup Language', 'Family', 'Frequencies', 'Genetic Transcription', 'Impairment', 'Internet', 'Language', 'Language Development', 'Language Development Disorders', 'Language Disorders', 'Learning', 'Link', 'Machine Learning', 'Methodology', 'Methods', 'Modeling', 'Morphology', 'Participant', 'Pattern', 'Phonetics', 'Process', 'Records', 'Research Personnel', 'Site', 'Speech Disorders', 'Structure', 'Students', 'Stuttering', 'System', 'Testing', 'Transcript', 'Variant', 'Work', 'base', 'bilingualism', 'computer program', 'developmental disease', 'digital', 'disability', 'improved', 'lexical', 'phonology', 'programs', 'sound', 'specific language impairment', 'syntax', 'tool']",NICHD,CARNEGIE-MELLON UNIVERSITY,R01,2012,292839,0.2547014603007909
"A Shared Database for the Study of Phonological Development DESCRIPTION:  The study of phonological development has important implications for the diagnosis and treatment of language disorders, models of the biological bases of language production, the teaching of second languages, and the general advancement of linguistic theory. Recents advances in computational power make it possible for researchers to link high quality digital recordings to phonological and phonetic transcriptions. Using standards such as Unicode, IPA, and XML, the CHILDES database project (http://childes.psy.cmu.edu) now provides universal access to large corpora of transcripts linked to audio for students of both first and second language acquisition, along with a wide array of tools for lexical, syntactic, and discourse analysis. However, the CHILDES Project has not yet built effective tools for phonological and phonetic analysis.  We will close this gap by developing a new Java-based program called Phon that interfaces with the CHILDES transcription format. Phon provides: (1) easy user-controlled utterance boundary marking, (2) an input method for Unicode IPA transcription of child forms, (3) automatic alignment of segments in child forms to waveform regions, (4) automatic insertion of the IPA form for adult target words, (5) automatic alignment of child forms to the adult targets for both segmental and prosodic levels, (6) tools for querying the database, and (7) tools for composing output reports. Phon will be configured to run either locally or over the web as a Java WebStart application. The construction of the new database will be supported by a group of 26 researchers who have agreed to contribute already collected and transcribed corpora from children learning 17 different languages. Subjects include bilingual children, normally-developing monolinguals, and children with language disorders. The data will be structured to facilitate testing of models regarding babbling universals, variant paths in segmental and prosodic development, markedness effects, prosodic context effects, segmentation patterns, statistical learning, frequency effects, interlanguage transfer, diagnosis of disability, stuttering patterns, disfluency patterns, and the effects of morphology and syntax. Benchmarks will be established to emphasize the direct competitive teasting of competing hypotheses from alternative theoretical and methodological positions. n/a",A Shared Database for the Study of Phonological Development,7813998,R01HD051698,"['Acoustics', 'Adult', 'Algorithms', 'Benchmarking', 'Biological', 'Child', 'Data', 'Data Analyses', 'Data Set', 'Databases', 'Development', 'Diagnosis', 'Disease', 'Disease model', 'Educational process of instructing', 'Educational workshop', 'Environment', 'Extensible Markup Language', 'Frequencies', 'Generations', 'Genetic Transcription', 'Goals', 'Individual Differences', 'Internet', 'Java', 'Language', 'Language Development', 'Language Disorders', 'Learning', 'Linguistics', 'Link', 'Machine Learning', 'Methodology', 'Methods', 'Modeling', 'Morphology', 'Output', 'Participant', 'Pattern', 'Phonetics', 'Positioning Attribute', 'Production', 'Reporting', 'Research Infrastructure', 'Research Personnel', 'Running', 'Series', 'Structure', 'Students', 'Stuttering', 'System', 'Testing', 'Transcript', 'Variant', 'Work', 'base', 'digital', 'disability', 'lexical', 'member', 'phonology', 'programs', 'sound', 'syntax', 'theories', 'tool']",NICHD,CARNEGIE-MELLON UNIVERSITY,R01,2010,223419,0.26905150307548603
